,bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365,reviews
47,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,1
48,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,1
49,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,1
50,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302,1
51,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,1
52,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234,1
53,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,1
54,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,1
55,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,1
56,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49,2,294,1
57,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,1
58,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,1
59,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,1
60,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,0.12,1,180,1
61,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,1
62,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,1
63,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292,1
64,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65,1,191,1
65,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,1
66,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,2,72,1
67,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362,1
68,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,1
69,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,1,215,1
70,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,1
71,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,1
72,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,1
73,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,1
74,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,1
75,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,1
76,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,1
77,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,1
78,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,1
79,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,1
80,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,1
81,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328,1
82,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,1
83,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,1,188,1
84,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,0.24,1,7,1
85,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,1
86,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26,1
87,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,1
88,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,1
89,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,1
90,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,1
91,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,6,185,1
92,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,1
93,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,1
94,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,1
95,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,1
96,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,1
97,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,1
98,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311,1
99,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,1
100,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342,1
101,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,1
102,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243,1
103,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152,1
104,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,1
105,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46,2,137,1
106,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,1
107,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,1
108,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,1
109,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,1
110,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,1
111,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,1
112,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,1
113,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,4,298,1
114,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,1
115,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,1
116,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,1
117,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,1
118,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,1
119,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,1
120,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,1
121,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,1
122,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,1
123,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,1
124,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,1
125,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,1
126,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,1
127,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,1
128,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213,1
129,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,1,278,1
130,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209,1
131,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86,1,0,1
132,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,1
133,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,1
134,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,1
135,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,1
136,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,3,275,1
137,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,2,163,1
138,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,1
139,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,1
140,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,1
141,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,1
142,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,1
143,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170,1
144,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,1
145,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214,1
146,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,1
147,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,4,262,1
148,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,1
149,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,1
150,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,1
151,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1,1
152,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,1
153,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,1
154,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,1
155,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,1
156,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,1
157,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27,1,230,1
158,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164,1
159,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,2,53,1
160,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,1
161,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3,1
162,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,1
163,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,1
164,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,1
165,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,1
166,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,3,336,1
167,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,1
168,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312,1
169,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,1
170,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04,3,353,1
171,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177,1
172,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,1
173,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,1
174,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,2,321,1
175,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246,1
176,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231,1
177,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,1
178,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,1
179,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92,2,0,1
180,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,5,365,1
181,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233,1
182,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,1
183,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,1
184,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,1
185,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,1
186,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,1,326,1
187,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,1
188,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,1
189,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,1
190,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,1
191,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162,1
192,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,0.0,2,0,0
193,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,1,7,1
194,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,1,328,1
195,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,1
196,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0,1
197,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,1
198,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,5,240,1
199,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,1
200,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,1
201,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164,1
202,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,1
203,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,0.0,1,365,0
204,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,3,250,1
205,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,5,247,1
206,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45,3,323,1
207,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,1,192,1
208,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125,1
209,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,1
210,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,1,75,1
211,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,1,286,1
212,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,2,60,1
213,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,1
214,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192,1
215,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58,1
216,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84,5,245,1
217,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,1
218,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279,1
219,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0,1
220,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,1,3,1
221,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,1
222,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,1,201,1
223,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1,2,232,1
224,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58,2,258,1
225,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,1,272,1
226,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3,1,341,1
227,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244,1
228,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,0.01,5,365,1
229,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67,1,12,1
230,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265,1
231,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,0.78,1,0,1
232,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,0.99,1,329,1
233,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,0.1,1,91,1
234,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,1.83,2,365,1
235,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,1.82,5,253,1
236,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,0.11,1,365,1
237,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1.22,1,320,1
238,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,0.04,1,0,1
239,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,1.3,3,192,1
240,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,0.2,1,0,1
241,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,0.34,1,348,1
242,Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,2.21,2,0,1
243,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,1.8,2,353,1
244,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,0.9,1,140,1
245,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,2.3,1,2,1
246,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,0.58,1,56,1
247,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,2.13,1,68,1
248,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,1.85,6,360,1
249,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,1.44,6,0,1
250,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,1.71,6,320,1
251,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,1.78,2,326,1
252,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,0.7,2,76,1
253,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,1.22,3,279,1
254,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,1.77,2,15,1
255,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,36,2,333,3.19,6,340,1
256,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,4.5,1,226,1
257,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,0.46,2,365,1
258,Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,0.09,2,0,1
259,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,0.0,7,349,0
260,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,0.5,13,365,1
261,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,2.39,2,11,1
262,Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,1.38,2,316,1
263,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,0.41,4,281,1
264,Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,0.0,2,323,0
265,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,0.14,4,362,1
266,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,0.0,1,0,0
267,Brooklyn,Crown Heights,40.6778,-73.94339,Private room,100,3,279,2.69,1,301,1
268,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,0.22,4,189,1
269,Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,3.55,1,0,1
270,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,2.27,2,287,1
271,Manhattan,Little Italy,40.71702,-73.99811,Entire home/apt,90,14,1,0.16,1,14,1
272,Manhattan,East Village,40.72321,-73.98157,Private room,68,2,203,1.96,2,86,1
273,Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210,2.1,1,261,1
274,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,0.67,1,68,1
275,Brooklyn,Williamsburg,40.71368,-73.9626,Private room,60,3,0,0.0,1,0,0
276,Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,0.15,1,231,1
277,Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,0.48,1,152,1
278,Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1.27,1,46,1
279,Manhattan,Harlem,40.82888,-73.94307,Private room,75,3,20,0.26,1,364,1
280,Brooklyn,Park Slope,40.67319,-73.97323,Entire home/apt,175,2,11,0.11,1,246,1
281,Brooklyn,Carroll Gardens,40.67846,-73.99443,Entire home/apt,190,3,51,0.57,1,288,1
282,Brooklyn,Crown Heights,40.6715,-73.94808,Private room,49,21,15,0.15,5,331,1
283,Manhattan,East Village,40.72681,-73.98534,Entire home/apt,212,3,67,1.31,1,51,1
284,Manhattan,Lower East Side,40.71904,-73.99392,Private room,95,1,109,1.11,3,364,1
285,Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,0.11,1,254,1
